Domingo_semana,region,0,0.0275,0.975
2020-09-27,6,2.9,-8.5,15.7
2020-09-27,7,-26.9,-42.5,-7.7
2020-09-27,8,-27.6,-50.8,-8.1
2020-09-27,9,29.3,13.5,44.2
2020-09-27,10,30.4,12.8,46.6
2020-09-27,11,-7.1,-14.1,-0.4
2020-09-27,12,-30.6,-49.2,-12.0
2020-09-27,13,-56.6,-83.2,-32.6
2020-09-27,14,-1.6,-11.9,9.1
2020-09-27,15,-2.1,-13.0,8.6
2020-09-27,16,-5.1,-13.6,3.3
2020-10-04,1,-2.9,-9.3,3.6
2020-10-04,2,-2.5,-12.9,6.6
2020-10-04,3,-3.3,-11.1,4.6
2020-10-04,4,-6.9,-13.1,1.0
2020-10-04,5,-17.8,-32.3,-3.5
2020-10-04,6,-0.3,-12.6,11.7
2020-10-04,7,-2.9,-17.1,12.3
2020-10-04,8,27.9,9.2,49.2
2020-10-04,9,17.1,2.2,34.3
2020-10-04,10,22.3,6.9,39.2
2020-10-04,11,-3.3,-9.6,3.1
2020-10-04,12,-60.8,-79.1,-44.1
2020-10-04,13,-5.9,-30.9,15.6
2020-10-04,14,-4.7,-14.0,4.9
2020-10-04,15,-10.0,-20.4,0.9
2020-10-04,16,-1.4,-10.2,5.6
2020-10-11,1,2.6,-3.5,9.4
2020-10-11,2,-6.4,-14.9,2.9
2020-10-11,3,-3.8,-11.8,2.6
2020-10-11,4,-4.9,-10.7,1.2
2020-10-11,5,-9.7,-21.4,5.0
2020-10-11,6,-2.9,-14.4,8.6
2020-10-11,7,-9.7,-22.9,2.6
2020-10-11,8,25.4,1.1,46.0
2020-10-11,9,-8.1,-26.3,8.7
2020-10-11,10,13.5,-7.6,34.0
2020-10-11,11,2.3,-3.4,8.0
2020-10-11,12,-35.9,-51.9,-21.6
2020-10-11,13,-4.9,-28.3,21.9
2020-10-11,14,11.8,2.4,21.9
2020-10-11,15,-2.5,-10.9,7.6
2020-10-11,16,-0.8,-7.9,7.6
2020-10-18,1,7.0,-0.1,14.7
2020-10-18,2,-0.8,-9.0,7.6
2020-10-18,3,-2.9,-8.4,4.2
2020-10-18,4,-3.6,-10.5,2.6
2020-10-18,5,-13.2,-23.8,-0.1
2020-10-18,6,-18.7,-30.9,-8.7
2020-10-18,7,-15.4,-26.8,-3.4
2020-10-18,8,-21.2,-44.2,2.9
2020-10-18,9,18.9,2.7,36.9
2020-10-18,10,-0.7,-20.8,16.6
2020-10-18,11,-10.8,-15.9,-5.9
2020-10-18,12,-5.5,-18.1,7.7
2020-10-18,13,-20.9,-44.2,0.9
2020-10-18,14,7.1,-2.7,17.0
2020-10-18,15,-7.9,-18.0,2.9
2020-10-18,16,2.4,-5.4,10.0
2020-10-25,1,-1.4,-8.3,5.5
2020-10-25,2,-5.9,-12.7,1.4
2020-10-25,3,-10.4,-15.8,-5.0
2020-10-25,4,-5.1,-10.7,-0.6
2020-10-25,5,0.0,-11.0,12.1
2020-10-25,6,-15.0,-24.0,-5.3
2020-10-25,7,2.9,-10.2,15.3
2020-10-25,8,0.7,-20.6,20.1
2020-10-25,9,21.2,2.1,40.7
2020-10-25,10,4.9,-10.4,24.4
2020-10-25,11,-1.4,-5.4,2.6
2020-10-25,12,5.6,-8.9,17.9
2020-10-25,13,-21.6,-43.2,1.6
2020-10-25,14,15.5,4.6,29.0
2020-10-25,15,-6.7,-14.4,1.6
2020-10-25,16,4.9,-3.1,13.4
2020-11-01,1,7.0,-1.6,15.3
2020-11-01,2,-6.0,-12.6,1.4
2020-11-01,3,-4.6,-8.9,-1.1
2020-11-01,4,-0.6,-4.8,4.1
2020-11-01,5,1.3,-10.0,13.6
2020-11-01,6,2.3,-6.7,11.0
2020-11-01,7,-9.1,-20.9,2.6
2020-11-01,8,21.2,1.8,39.1
2020-11-01,9,-3.3,-22.1,17.9
2020-11-01,10,20.3,2.1,39.4
2020-11-01,11,-1.5,-5.5,2.6
2020-11-01,12,-16.4,-28.6,-4.9
2020-11-01,13,-1.9,-24.7,21.9
2020-11-01,14,11.4,-1.2,24.1
2020-11-01,15,-0.3,-7.5,6.9
2020-11-01,16,-1.0,-9.7,6.0
2020-11-08,1,-6.2,-14.9,3.3
2020-11-08,2,-0.3,-7.1,6.1
2020-11-08,3,3.6,-0.1,7.6
2020-11-08,4,2.3,-2.0,6.9
2020-11-08,5,-5.4,-17.0,4.6
2020-11-08,6,-4.0,-11.6,5.9
2020-11-08,7,4.0,-8.4,16.0
2020-11-08,8,31.9,12.5,53.9
2020-11-08,9,-20.6,-38.4,-0.7
2020-11-08,10,-17.0,-34.0,1.9
2020-11-08,11,-1.2,-4.3,2.0
2020-11-08,12,-0.5,-12.3,11.7
2020-11-08,13,-0.2,-23.4,18.9
2020-11-08,14,5.3,-7.7,20.4
2020-11-08,15,-8.2,-14.2,-2.0
2020-11-08,16,7.8,-0.7,17.6
2020-11-15,1,-3.4,-10.9,3.9
2020-11-15,2,-3.5,-9.8,3.9
2020-11-15,3,1.8,-2.8,6.0
2020-11-15,4,6.1,1.1,12.3
2020-11-15,5,2.9,-7.1,15.6
2020-11-15,6,1.4,-6.1,9.2
2020-11-15,7,-5.4,-18.8,6.9
2020-11-15,8,-0.1,-22.0,20.7
2020-11-15,9,-8.2,-26.7,9.2
2020-11-15,10,-16.5,-36.7,0.3
2020-11-15,11,-0.4,-3.7,3.6
2020-11-15,12,16.0,6.2,28.4
2020-11-15,13,13.8,-9.5,44.3
2020-11-15,14,-3.1,-18.6,11.6
2020-11-15,15,-4.7,-10.7,1.1
2020-11-15,16,3.2,-5.2,11.4
2020-11-22,1,3.8,-3.4,10.4
2020-11-22,2,0.4,-6.1,7.0
2020-11-22,3,-0.2,-4.3,4.0
2020-11-22,4,9.0,2.6,16.2
2020-11-22,5,10.4,-2.1,23.9
2020-11-22,6,1.3,-6.1,10.0
2020-11-22,7,0.0,-11.9,12.3
2020-11-22,8,35.7,11.1,61.9
2020-11-22,9,4.5,-13.5,24.2
2020-11-22,10,-39.6,-57.9,-22.4
2020-11-22,11,-0.9,-4.1,2.1
2020-11-22,12,1.9,-10.0,13.9
2020-11-22,13,26.3,3.4,50.9
2020-11-22,14,-10.3,-23.7,5.0
2020-11-22,15,-3.4,-7.7,1.4
