Indicador,Valor,cod_color,fecha
B1,2.30456807400026,3,2020-05-01
B1,2.511985881610479,3,2020-05-02
B1,2.666983926147749,3,2020-05-03
B1,3.281014641045394,3,2020-05-04
B1,3.714351349115108,3,2020-05-05
B1,4.111559534204153,3,2020-05-06
B1,4.443499975074917,3,2020-05-07
B1,5.008759753544887,2,2020-05-08
B1,5.2100619221299285,2,2020-05-09
B1,5.312229068197598,2,2020-05-10
B1,5.555158695693511,2,2020-05-11
B1,5.628340796297315,2,2020-05-12
B1,5.599355750833449,2,2020-05-13
B1,5.551098733651587,2,2020-05-14
B1,5.441428366595044,2,2020-05-15
B1,5.393274133262344,2,2020-05-16
B1,5.349025686197826,2,2020-05-17
B1,5.185907717576707,2,2020-05-18
B1,5.051312267098222,2,2020-05-19
B1,5.135389455713266,2,2020-05-20
B1,4.778575323345142,3,2020-05-21
B1,4.964716874178693,3,2020-05-22
B1,4.999457815195667,3,2020-05-23
B1,5.093864780651557,2,2020-05-24
B1,5.260426008219625,2,2020-05-25
B1,5.412957240376991,2,2020-05-26
B1,5.41408786271778,2,2020-05-27
B1,5.766585073421073,2,2020-05-28
B1,5.702961870789395,2,2020-05-29
B1,5.684717737563026,2,2020-05-30
B1,5.664726278900892,2,2020-05-31
B1,5.680811951294845,2,2020-06-01
B1,5.74160859807455,2,2020-06-02
B1,5.82434959665048,2,2020-06-03
B1,5.941214833148408,2,2020-06-04
B1,6.042919451894846,2,2020-06-05
B1,6.063681789425701,2,2020-06-06
B1,6.054071499528993,2,2020-06-07
B1,6.0469794139367705,2,2020-06-08
B1,6.038499746380853,2,2020-06-09
B1,6.09122786100129,2,2020-06-10
B1,6.117334958688602,2,2020-06-11
B1,6.079664677970492,2,2020-06-12
B1,6.089120792093456,2,2020-06-13
B1,6.061780288216192,2,2020-06-14
B1,6.11841418910481,2,2020-06-15
B1,6.112298550079632,2,2020-06-16
B1,6.040966558760756,2,2020-06-17
B1,6.026576819877985,2,2020-06-18
B1,6.065017979464814,2,2020-06-19
B1,6.03454256818809,2,2020-06-20
B1,6.130337115607676,2,2020-06-21
B1,5.88458093225979,2,2020-06-22
B1,5.802508028703418,2,2020-06-23
B1,5.763552949870775,2,2020-06-24
B1,5.694944730554709,2,2020-06-25
B1,5.659175951046108,2,2020-06-26
B1,5.67402821725011,2,2020-06-27
B1,5.579518467945058,2,2020-06-28
B1,5.140066120850166,2,2020-06-29
B1,5.163655014232994,2,2020-06-30
B1,5.153273845467567,2,2020-07-01
B1,5.154507251657519,2,2020-07-02
B1,5.17943233507946,2,2020-07-03
B1,5.080965407581645,2,2020-07-04
B1,5.051672010570291,2,2020-07-05
B1,5.6316812713951006,2,2020-07-06
B1,5.627826877051501,2,2020-07-07
B1,5.661385803803105,2,2020-07-08
B1,5.73657218946558,2,2020-07-09
B1,5.745565776267312,2,2020-07-10
B1,5.853540209812671,2,2020-07-11
B1,5.921994253354994,2,2020-07-12
B1,5.967578890458626,2,2020-07-13
B1,6.076992297892263,2,2020-07-14
B1,6.157163700239127,2,2020-07-15
B1,5.6800924643507065,2,2020-07-16
B1,5.71015674023078,2,2020-07-17
B1,5.729942631194589,2,2020-07-18
B1,5.681171694766914,2,2020-07-19
B1,5.740529367658342,2,2020-07-20
B1,5.682713452504354,2,2020-07-21
B1,5.698079637954169,2,2020-07-22
B1,6.3113908659076765,2,2020-07-23
B1,6.485712274087524,2,2020-07-24
B1,6.685369901085963,2,2020-07-25
B1,6.782397854695501,2,2020-07-26
B1,6.944179633277505,2,2020-07-27
B1,7.209464747966294,2,2020-07-28
B1,7.454450052445459,2,2020-07-29
B1,7.647889256569559,2,2020-07-30
B1,7.838810256389173,2,2020-07-31
B1,7.879409876808418,2,2020-08-01
B1,7.92961978712437,2,2020-08-02
B1,8.02752140345179,2,2020-08-03
B1,8.198656512307595,2,2020-08-04
B1,8.342553901135298,2,2020-08-05
